City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dana point,33.467,-117.6981,290.82,92,39,0.89,US,1684164581
1,tiksi,71.6872,128.8694,271.89,96,100,2.95,RU,1684164581
2,olonkinbyen,70.9221,-8.7187,272.78,97,100,9.62,SJ,1684164581
3,port-aux-francais,-49.35,70.2167,278.65,72,23,13.77,TF,1684164581
4,wailua homesteads,22.0669,-159.378,294.59,82,100,5.14,US,1684164581
5,adamstown,-25.066,-130.1015,297.19,85,92,13.02,PN,1684164582
6,avarua,-21.2078,-159.775,296.18,78,75,1.03,CK,1684164582
7,slave lake,55.2834,-114.769,290.14,51,0,4.12,CA,1684164582
8,waitangi,-43.9535,-176.5597,286.98,78,54,8.27,NZ,1684164582
9,iqaluit,63.7506,-68.5145,273.0,64,75,11.32,CA,1684164583
10,sogndal,61.2283,7.1003,289.36,44,40,3.09,NO,1684164583
11,qalat,32.1058,66.9083,293.79,40,89,4.17,AF,1684164583
12,carnarvon,-24.8667,113.6333,293.64,59,1,7.37,AU,1684164583
13,lihue,21.9789,-159.3672,294.92,79,100,5.14,US,1684164583
14,tura,25.5198,90.2201,299.84,50,24,2.08,IN,1684164584
15,aasiaat,68.7098,-52.8699,270.82,64,89,5.75,GL,1684164584
16,petropavlovsk-kamchatsky,53.0452,158.6483,278.48,93,0,3.0,RU,1684164584
17,yuzhno-kurilsk,44.0306,145.8556,279.36,97,100,2.54,RU,1684164584
18,bethel,41.3712,-73.414,293.38,36,0,3.6,US,1684164585
19,san pedro,14.35,121.0167,302.79,84,40,2.57,PH,1684164585
20,puerto natales,-51.7236,-72.4875,282.55,89,17,1.73,CL,1684164585
21,nadym,65.5333,72.5167,274.26,79,99,8.06,RU,1684164585
22,jamestown,42.097,-79.2353,289.55,35,0,0.0,US,1684164585
23,selfoss,63.9331,-20.9971,277.06,64,18,6.88,IS,1684164586
24,manacapuru,-3.2997,-60.6206,301.36,82,100,1.07,BR,1684164586
25,cooper's town,26.8667,-77.5167,298.01,76,91,5.83,BS,1684164586
26,nemuro,43.3236,145.575,279.63,95,100,5.84,JP,1684164587
27,saipan,15.1355,145.701,300.73,100,75,2.57,MP,1684164587
28,badovinci,44.7858,19.3714,289.74,89,100,2.1,RS,1684164587
29,vielha,42.6846,0.7726,284.85,68,57,3.72,ES,1684164587
30,edinburgh of the seven seas,-37.0676,-12.3116,290.41,95,69,6.19,SH,1684164588
31,lethem,3.3803,-59.7968,304.18,70,40,6.17,GY,1684164588
32,lata,40.1629,-8.3327,293.75,35,55,5.94,PT,1684164588
33,hadibu,12.65,54.0333,303.66,76,70,1.79,YE,1684164560
34,vorgashor,67.5833,63.95,271.29,91,100,8.22,RU,1684164588
35,kodiak,57.79,-152.4072,277.88,87,100,4.63,US,1684164589
36,qusmuryn,52.4503,64.6311,287.8,37,0,1.91,KZ,1684164589
37,dryden,49.7833,-92.7503,289.31,39,0,5.14,CA,1684164589
38,bilibino,68.0546,166.4372,258.61,98,61,1.4,RU,1684164589
39,chegdomyn,51.1167,133.0167,277.47,90,77,1.96,RU,1684164589
40,grytviken,-54.2811,-36.5092,275.2,94,88,4.27,GS,1684164590
41,albany,42.6001,-73.9662,291.99,38,66,0.45,US,1684164590
42,howrah,22.5892,88.3103,304.87,83,100,7.72,IN,1684164590
43,hotan,37.0997,79.9269,298.67,9,57,3.03,CN,1684164590
44,whitehorse,60.7161,-135.0538,279.87,55,0,0.0,CA,1684164591
45,mejit,10.2753,170.8646,300.48,79,100,6.84,MH,1684164591
46,uige,-7.6087,15.0613,300.92,65,61,2.44,AO,1684164591
47,san pablo,14.0669,121.3258,300.32,92,99,1.49,PH,1684164591
48,qamdo,31.1667,97.2333,276.46,61,86,2.27,CN,1684164592
49,ta`u,-14.2336,-169.5144,300.64,77,65,4.0,AS,1684164592
50,yellowknife,62.456,-114.3525,285.44,58,100,3.09,CA,1684164592
51,ushuaia,-54.8,-68.3,288.96,48,40,6.69,AR,1684164592
52,rojhan,28.6868,69.9534,307.79,23,50,8.82,PK,1684164592
53,ribeira grande,38.5167,-28.7,293.37,83,75,4.47,PT,1684164593
